AbsoluteTime,Loop,Phase,Iteration,Frequency,CPU_Usage,Nb_pflts,IO_kbps
1669763690478,1,1,0,2900000
1669763690521,1,1,1,2900000
1669763690540,1,2,0,2900000
1669763690558,1,2,1,2900000
1669763690578,1,3,0,2900000
1669763690627,1,3,1,2900000
1669763690647,1,4,0,2900000
1669763730992,1,4,1,2900000
1669763731007,1,5,0,2900000
1669763731025,1,5,1,2900000
1669763731040,1,6,0,2900000
1669763731062,1,6,1,2900000
1669763731078,1,7,0,2900000
1669763731098,1,7,1,2900000
1669763685219,*,*,*,*,0,,
1669763685310,*,*,*,2350136,,,
1669763686310,*,*,*,2498303,,,
1669763687309,*,*,*,2468545,,,
1669763688309,*,*,*,2480580,,,
1669763688803,*,*,*,*,0,,
1669763688992,*,*,*,*,0,,
1669763689199,*,*,*,*,0,,
1669763689330,*,*,*,2693633,,,
1669763689391,*,*,*,*,0,,
1669763689573,*,*,*,*,0,,
1669763689721,*,*,*,*,0,,
1669763689857,*,*,*,*,0,,
1669763690010,*,*,*,*,0,,
1669763690181,*,*,*,*,0,,
1669763690314,*,*,*,2693629,,,
1669763690374,*,*,*,*,0,False,
1669763691310,*,*,*,2798108,,,
1669763691634,*,*,*,*,99.7,False,False
1669763692309,*,*,*,2863046,,,
1669763693309,*,*,*,2864134,,,
1669763694309,*,*,*,2770580,,,
1669763695311,*,*,*,2741149,,,
1669763695959,*,*,*,*,100,False,False
1669763696309,*,*,*,2766473,,,
1669763697310,*,*,*,2816817,,,
1669763698309,*,*,*,2806039,,,
1669763699315,*,*,*,2693631,,,
1669763700306,*,*,*,*,100,False,False
1669763700313,*,*,*,2778578,,,
1669763701313,*,*,*,2878814,,,
1669763702309,*,*,*,2844573,,,
1669763703334,*,*,*,2801493,,,
1669763704309,*,*,*,2769956,,,
1669763704633,*,*,*,*,100,False,False
1669763705314,*,*,*,2880322,,,
1669763706309,*,*,*,2861178,,,
1669763707309,*,*,*,2867586,,,
1669763708309,*,*,*,2849036,,,
1669763708978,*,*,*,*,100,False,False
1669763709309,*,*,*,2859544,,,
1669763710309,*,*,*,2853985,,,
1669763711309,*,*,*,2851705,,,
1669763712309,*,*,*,2850039,,,
1669763713263,*,*,*,*,99.7,False,False
1669763713311,*,*,*,2868815,,,
1669763714309,*,*,*,2863199,,,
1669763715309,*,*,*,2854487,,,
1669763716309,*,*,*,2869643,,,
1669763717309,*,*,*,2856650,,,
1669763717557,*,*,*,*,99.7,False,False
1669763718309,*,*,*,2853220,,,
1669763719309,*,*,*,2867148,,,
1669763720309,*,*,*,2851775,,,
1669763721309,*,*,*,2849065,,,
1669763721849,*,*,*,*,99.7,False,False
1669763722309,*,*,*,2858777,,,
1669763723309,*,*,*,2847547,,,
1669763724309,*,*,*,2866762,,,
1669763725309,*,*,*,2845401,,,
1669763726137,*,*,*,*,100,False,False
1669763726309,*,*,*,2862300,,,
1669763727309,*,*,*,2873854,,,
1669763728309,*,*,*,2862772,,,
1669763729309,*,*,*,2866250,,,
1669763730309,*,*,*,2861992,,,
